kommune_navn,fylke,målform,kommune_nr,from_url,pdf_link
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/5302581.181.s7mmlztzaj7alt/Stenging+Altevatnet+og+Leina.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/5224511.181.kztt7ia7mtqtjn/L%C3%B8ype+1+Innset-Sl%C3%A5ttmoberget.pdf
Alstahaug,Nordland,nøytral,1820,https://www.alstahaug.kommune.no/kyststi.616685.no.html,https://www.alstahaug.kommune.no/getfile.php/4538003.1880.ks7wan77mi7zzj/Kommunedelplan+fysisk+aktivitet+og+naturopplevelser+2019-2023.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/5224459.181.bwmlwqtbms7bti/L%C3%B8ype+2+Altevatnet.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/5224460.181.klatzpw7jtumnt/L%C3%B8ype+3+Leinavatnet.pdf
Alstahaug,Nordland,nøytral,1820,https://www.alstahaug.kommune.no/melding-om-arrangementer.4974338-202616.html,http://getfile.php/1749541.1880.spysyasvtb/Veileder%2Bfor%2Bsikkerhet%2Bved%2Bstore%2Barrangementer.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/5224507.181.tlts7mpanbqmln/L%C3%B8ype+4+Solli+Camping-Sverrevatnan.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/5224471.181.jqisqtiaqlmqmk/L%C3%B8ype+5+Hyttefelt+Indseth%2C+Solseth%2C+Altevatnet.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/bardu-frivilligsentral.598073.no.html,https://www.bardu.kommune.no/getfile.php/5364074.181.znbnpltbbqjszz/Presentasjon+Bardu+Frivilligsentral+301024+Bardu+kommunestyre.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/5224533.181.itikzputzu7nsm/Forskrift+for+rekreasjonsl%C3%B8yper+14.06.23.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://bardu.custompublish.com/getfile.php/4070075.181.kztuqwtqzlslkn/FARTSGRENSER+INNSET+-+ALTEVATNET+-+LEINAVATNET.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,"https://img1.custompublish.com/getfile.php/5224471.181.jqisqtiaqlmqmk/L%C3%B8ype+5+Hyttefelt+Indseth,+Solseth,+Altevatnet.pdf?return=www.bardu.kommune.no"
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/4995710.181.ptwispmuqzjzii/Legeerkl%C3%A6ring_skjema_nytt%2B2013+%282%29.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://bardu.custompublish.com/getfile.php/4587505.181.uqj7pzzqiubzpn/LAGE+KARTVEDLEGG+TIL+S%C3%98KNAD.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,http://www.regjeringen.no/upload/kilde/md/rus/1996/0004/ddd/pdfv/276025-t-1-96.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.551022.no.html,https://www.bardu.kommune.no/getfile.php/4807252.181.zlpuassmiplawi/Legeerkl%C3%A6ring_skjema_nytt%2B2013.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/kulturprisen.544732.no.html,https://www.bardu.kommune.no/getfile.php/4725788.181.qnabzwmi7ulwtp/Kulturpris%2B2020%2Bvedtekter%2Bvedtatt%2B2018.pdf
